player_id,sleeper_rank,bye_week,sleeper_proj_dollar,sleeper_board_pts_half_ppr
9509,1,11,58,292.9
9221,2,6,56,299.9
4984,3,7,52,351.5
7564,4,6,48,256.6
9493,5,11,46,259.0
9488,6,11,46,235.1
4034,7,8,43,256.0
6813,8,13,40,254.3
11564,9,11,40,309.8
4881,10,13,39,318.0
7547,11,6,38,227.5
8138,12,7,37,245.3
6786,13,14,36,222.5
6770,14,6,35,296.1
6794,15,6,35,205.4
12527,16,13,34,181.4
9226,17,6,34,229.9
11566,18,7,34,299.7
4866,19,10,34,228.2
8130,20,14,34,186.9
11604,21,13,34,202.5
8151,22,5,33,225.5
12507,23,7,32,218.9
